product_code,serve_label,serve_ml,price,sort_order
mocktail_mountain_spritz,Serve,,9.0,1
mocktail_ginger_cooler,Serve,,11.5,1
mocktail_sicilian_lemonade,Serve,,7.5,1
mocktail_non_alcoholic_espresso_martini,Serve,,8.0,1
mocktail_fig_and_truffle_spritz,Serve,,7.5,1
mocktail_saffron_orange_spritz,Serve,,9.0,1
mocktail_cherry_lini_zero,Serve,,12.0,1
wine_wild_idol_alcohol_free_sparkling_white,Glass,125.0,12.0,1
wine_wild_idol_alcohol_free_sparkling_white,Bottle,750.0,62.0,2
wine_searcys_classic_cuv_e_brut_searcys,Glass,125.0,10.0,1
wine_searcys_classic_cuv_e_brut_searcys,Bottle,750.0,60.0,2
wine_chapel_down_ros_brut_chapel_down,Bottle,750.0,88.0,1
wine_searcys_selected_cuv_e_brut_searcys,Glass,125.0,15.0,1
wine_searcys_selected_cuv_e_brut_searcys,Bottle,750.0,85.0,2
wine_searcys_selected_cuv_e_ros_brut_searcys,Glass,125.0,15.5,1
wine_searcys_selected_cuv_e_ros_brut_searcys,Bottle,750.0,85.0,2
wine_nyetimber_classic_cuv_e_nyetimber,Bottle,750.0,90.0,1
wine_lanson_p_re_fils_brut_lanson,Glass,125.0,26.0,1
wine_lanson_p_re_fils_brut_lanson,Bottle,750.0,135.0,2
wine_lanson_ros_brut_lanson,Glass,125.0,18.0,1
wine_lanson_ros_brut_lanson,Bottle,750.0,110.0,2
wine_bottega_poeti_prosecco_brut_doc_bottega,Glass,125.0,9.0,1
wine_bottega_poeti_prosecco_brut_doc_bottega,Bottle,750.0,39.0,2
wine_charles_heidsieck_blanc_de_blancs_brut_charles_heidsieck,Bottle,750.0,115.0,1
wine_laurent_perrier_ros_laurent_perrier,Bottle,750.0,175.0,1
wine_chichibio_pecorino_terre_di_chieti_citra_vini_2022,Glass,125.0,6.0,1
wine_chichibio_pecorino_terre_di_chieti_citra_vini_2022,Glass,175.0,8.5,2
wine_chichibio_pecorino_terre_di_chieti_citra_vini_2022,Carafe,500.0,22.5,3
wine_chichibio_pecorino_terre_di_chieti_citra_vini_2022,Bottle,750.0,33.0,4
wine_montalto_organic_catarratto_montalto_2023,Glass,125.0,6.0,1
wine_montalto_organic_catarratto_montalto_2023,Glass,175.0,8.5,2
wine_montalto_organic_catarratto_montalto_2023,Carafe,500.0,23.0,3
wine_montalto_organic_catarratto_montalto_2023,Bottle,750.0,35.0,4
wine_g_rard_bertrand_heritage_chardonnay_g_rard_bertrand_2023,Glass,125.0,7.0,1
wine_g_rard_bertrand_heritage_chardonnay_g_rard_bertrand_2023,Glass,175.0,9.0,2
wine_g_rard_bertrand_heritage_chardonnay_g_rard_bertrand_2023,Carafe,500.0,25.5,3
wine_g_rard_bertrand_heritage_chardonnay_g_rard_bertrand_2023,Bottle,750.0,40.0,4
wine_sauvignon_blanc_featherdrop_featherdrop_2023,Glass,125.0,7.5,1
wine_sauvignon_blanc_featherdrop_featherdrop_2023,Glass,175.0,10.0,2
wine_sauvignon_blanc_featherdrop_featherdrop_2023,Carafe,500.0,29.0,3
wine_sauvignon_blanc_featherdrop_featherdrop_2023,Bottle,750.0,43.0,4
