product_code,name,category,subcategory,section_name,description,abv,vegan,organic,producer,country,is_active
mocktail_mountain_spritz,Mountain Spritz,mocktail,non_alcoholic_cocktail,Non-alcoholic cocktails,"Everleaf Mountain, Fever-Tree White Grape and Apricot Soda",,,,,,TRUE
mocktail_ginger_cooler,Ginger Cooler,mocktail,non_alcoholic_cocktail,Non-alcoholic cocktails,"Pentire Seaward, Lemon, Elderflower, Ginger Ale",,,,,,TRUE
mocktail_sicilian_lemonade,Sicilian Lemonade,mocktail,non_alcoholic_cocktail,Non-alcoholic cocktails,"Sicilian Lemon, Bergamot Essential Oil",,,,,,TRUE
mocktail_non_alcoholic_espresso_martini,Non-alcoholic Espresso Martini,mocktail,non_alcoholic_cocktail,Non-alcoholic cocktails,"Coffee, Sugar, Non-alcoholic Coffee Liquor, Cacao Nibs",,,,,,TRUE
mocktail_fig_and_truffle_spritz,Fig and Truffle Spritz,mocktail,non_alcoholic_cocktail,Non-alcoholic cocktails,"Figs, Honey, Truffle, Vichy Catalan",,,,,,FALSE
mocktail_saffron_orange_spritz,Saffron & Orange Spritz,mocktail,non_alcoholic_cocktail,Non-alcoholic cocktails,"Everleaf Forest, Blood Orange Soda",,,,,,TRUE
mocktail_cherry_lini_zero,Cherry-lini Zero,mocktail,non_alcoholic_cocktail,Non-alcoholic cocktails,"Wild idol, cherry syrup, lemon juice, maraschino cherry",,,,,,TRUE
item,,,,,,,,,,,
wine_bottega_poeti_prosecco_brut_doc_bottega,Bottega Poeti Prosecco Brut DOC,wine,sparkling,Wines by the bottle,"Fresh and delicate with apple, white peach and citrus. Balanced acidity with soft floral notes",11,TRUE,FALSE,Bottega,Italy,TRUE
wine_wild_idol_alcohol_free_sparkling_white,Wild Idol Alcohol Free Sparkling White,wine,sparkling,Wines by the bottle,Alcohol Free Sparkling White,0,TRUE,,Balfour Winery,England,TRUE
wine_searcys_classic_cuv_e_brut_searcys,Searcys Classic Cuvée Brut,wine,sparkling,Wines by the bottle,"Surrey, England, NV",12.5,TRUE,,Searcys,England,TRUE
wine_chapel_down_ros_brut_chapel_down,Chapel Down Rosé Brut,wine,sparkling,Wines by the bottle,"Kent, England, NV",12,TRUE,,Chapel Down,England,TRUE
wine_searcys_selected_cuv_e_brut_searcys,Searcys Selected Cuvée Brut,wine,sparkling,Wines by the bottle,"Champagne, NV",12.5,TRUE,,Searcys,France,TRUE
wine_searcys_selected_cuv_e_ros_brut_searcys,Searcys Selected Cuvée Rosé Brut,wine,sparkling,Wines by the bottle,"Champagne, NV",12.5,TRUE,,Searcys,France,TRUE
wine_nyetimber_classic_cuv_e_nyetimber,Nyetimber Classic Cuvée,wine,sparkling,Wines by the bottle,"Sussex, England, NV",12,TRUE,,Nyetimber,England,TRUE
wine_lanson_p_re_fils_brut_lanson,Lanson Père & Fils Brut,wine,sparkling,Wines by the bottle,"Champagne, NV",12.5,TRUE,,Lanson,France,TRUE
wine_lanson_ros_brut_lanson,Lanson Rosé Brut,wine,sparkling,Wines by the bottle,"Champagne, NV",12.5,TRUE,,Lanson,France,FALSE
wine_charles_heidsieck_blanc_de_blancs_brut_charles_heidsieck,Charles Heidsieck Blanc de Blancs Brut,wine,sparkling,Wines by the bottle,NV,12.5,TRUE,,Charles Heidsieck,France,TRUE
wine_laurent_perrier_ros_laurent_perrier,Laurent-Perrier Rosé Brut,wine,sparkling,Wines by the bottle,"Salmon-pink rosé with ripe berries, dark cherry and candied citrus. Dry, elegant and refined",12,TRUE,FALSE,Laurent-Perrier,France,TRUE
item,,,,,,,,,,,
wine_chichibio_pecorino_terre_di_chieti_citra_vini_2022,ChiChiBio Pecorino Terre di Chieti,wine,white,Wines by the bottle,"Citra Vini, Chieti, Abruzzo, Italy",12,TRUE,TRUE,Citra Vini,Italy,TRUE
wine_montalto_organic_catarratto_montalto_2023,Montalto Organic Catarratto,wine,white,Wines by the bottle,"Sicily, Italy",12.5,TRUE,TRUE,Montalto,Italy,TRUE
wine_g_rard_bertrand_heritage_chardonnay_g_rard_bertrand_2023,Gérard Bertrand Heritage Chardonnay,wine,white,Wines by the bottle,"Occitanie, France",13,TRUE,,Gérard Bertrand,France,TRUE
wine_sauvignon_blanc_featherdrop_featherdrop_2023,Sauvignon Blanc Featherdrop,wine,white,Wines by the bottle,"Marlborough, New Zealand",12.5,,,Featherdrop,New Zealand,TRUE
wine_castel_firmian_pinot_grigio_mezzacorona_2023,Castel Firmian Pinot Grigio,wine,white,Wines by the bottle,"Mezzacorona, Trentino, Italy",12.5,TRUE,,Mezzacorona,Italy,TRUE
wine_soellner_wogenrain_organic_gr_ner_veltliner_soellner_2022,Soellner Wogenrain Organic Grüner Veltliner,wine,white,Wines by the bottle,"Wagram, Austria",11.5,,TRUE,Soellner,Austria,TRUE
wine_vi_abal_albari_o_vi_abal_2023,Viñabal Albariño,wine,white,Wines by the bottle,"Rías Baixas, Galicia, Spain",12.5,,,Viñabal,Spain,TRUE
wine_lychgate_bacchus_bolney_2021,Lychgate Bacchus,wine,white,Wines by the bottle,"Bolney, West Sussex, England",11,,,Bolney,England,TRUE
wine_gavi_di_gavi_la_meirana_broglia_2023,Gavi di Gavi La Meirana,wine,white,Wines by the bottle,"Broglia, Piedmont, Italy",13,TRUE,,Broglia,Italy,TRUE
wine_marcel_henri_cuv_e_daniel_chotard_2023,Marcel Henri Cuvée,wine,white,Wines by the bottle,"Daniel Chotard, Sancerre, Loire, France",13.5,,,Daniel Chotard,France,TRUE
item,,,,,,,,,,,
wine_c_tes_de_provence_mas_fleurey_ros_mas_fleurey_2023,Côtes de Provence Mas Fleurey Rosé,wine,rose,Wines by the bottle,"Provence, France",12.5,TRUE,,Mas Fleurey,France,TRUE
wine_balfour_nannete_s_ros_balfour_2023,Balfour Nannete's Rosé,wine,rose,Wines by the bottle,"Kent, England",12,TRUE,,Balfour,England,TRUE
item,,,,,,,,,,,
wine_vialetto_negroamaro_vialetto_2022,Vialetto Negroamaro,wine,red,Wines by the bottle,"Puglia, Italy",12.5,TRUE,,Vialetto,Italy,TRUE
wine_montalto_organic_nero_d_avola_montalto_2022,Montalto Organic Nero d'Avola,wine,red,Wines by the bottle,"Sicily, Italy",13.5,TRUE,TRUE,Montalto,Italy,TRUE
wine_c_tes_du_rh_ne_haut_de_brun_alain_jaume_2021,Côtes du Rhône Haut de Brun,wine,red,Wines by the bottle,"Alain Jaume, Rhône, France",13.5,,TRUE,Alain Jaume,France,TRUE
wine_g_rard_bertrand_naturaly_s_pinot_noir_g_rard_bertrand_2022,Gérard Bertrand Naturaly's Pinot Noir,wine,red,Wines by the bottle,"Occitanie, France",13.5,TRUE,TRUE,Gérard Bertrand,France,TRUE
