cocktail_name,ingredient_name,amount,unit,sort_order,optional
Negroni - Created by Giorgio Locatelli,Gin Tanqueray 10,25,ml,1,false
Negroni - Created by Giorgio Locatelli,Campari,25,ml,2,false
Negroni - Created by Giorgio Locatelli,Antica Formula,25,ml,3,false
Negroni - Created by Giorgio Locatelli,Orange slice,1,slice,4,false
Collins 1847,Gin Tanqueray,40,ml,1,false
Collins 1847,Elderflower cordial,20,ml,2,false
Collins 1847,Lemon juice,20,ml,3,false
Collins 1847,Cucumber tonic,,top up with,4,false
Collins 1847,Cucumber,1,slice,5,false
National Passion,Tails Passion,40,ml,1,false
National Passion,Searcys Champagne,125,ml,2,false
National Passion,Orange peel,1,peel,3,true
Kir Royale,Creme de cassis,15,ml,1,false
Kir Royale,Searcys Champagne,125,ml,2,false
French 75,Gin Tanqueray,25,ml,1,false
French 75,Lemon juice,12.5,ml,2,false
French 75,Sugar syrup,12.5,ml,3,false
French 75,Searcys Champagne,125,ml,4,false
French 75,Lemon twist,1,twist,5,true
Paloma,Olmeca silver tequila,45,ml,1,false
Paloma,Lime juice,15,ml,2,false
Paloma,Grapefruit juice,20,ml,3,false
Paloma,Agave syrup,10,ml,4,false
Paloma,Grapefruit soda,,top up with,5,false
Paloma,Grapefruit wedge,1,wedge,6,true
Bloody Mary,Vodka 42 Below,50,ml,1,false
Bloody Mary,Tomato juice,40,ml,2,false
Bloody Mary,Worcester sauce,10,ml,3,false
Bloody Mary,Tabasco,3,dash,4,false
Bloody Mary,Salt,1,pinch,5,false
Bloody Mary,Black pepper,1,pinch,6,false
Bloody Mary,Olives,3,pcs,7,true
Bloody Mary,Rosemary,1,sprig,8,true
Bloody Mary,Lime wedge,1,wedge,9,true
Espresso Martini,Vodka 42 Below,50,ml,1,false
Espresso Martini,Coffee liqueur,20,ml,2,false
Espresso Martini,Vanilla syrup,10,ml,3,false
Espresso Martini,Montenegro liqueur,10,ml,4,false
Espresso Martini,Espresso,1,shot,5,false
Espresso Martini,Coffee beans,3,beans,6,true
