product_code,region,vintage,sweetness,body,acidity
wine_wild_idol_alcohol_free_sparkling_white,Kent,2024,dry,light,high
wine_bottega_poeti_prosecco_brut_doc_bottega,Treviso,2024,dry,light,medium
wine_searcys_classic_cuv_e_brut_searcys,Surrey,,dry,light,high
wine_chapel_down_ros_brut_chapel_down,Kent,,dry,light,high
wine_searcys_selected_cuv_e_brut_searcys,Champagne,,dry,medium,high
wine_searcys_selected_cuv_e_ros_brut_searcys,Champagne,,dry,medium,high
wine_nyetimber_classic_cuv_e_nyetimber,Sussex,,dry,medium,high
wine_lanson_p_re_fils_brut_lanson,Champagne,,dry,medium,high
wine_lanson_ros_brut_lanson,Champagne,,dry,medium,medium
wine_charles_heidsieck_blanc_de_blancs_brut_charles_heidsieck,Champagne,,dry,medium,high
wine_laurent_perrier_ros_laurent_perrier,Champagne,,dry,medium,high
wine_chichibio_pecorino_terre_di_chieti_citra_vini,Abruzzo,2024,dry,light,high
wine_montalto_organic_catarratto_montalto,Sicily,2024,dry,light,medium
wine_g_rard_bertrand_heritage_chardonnay_g_rard_bertrand,Occitanie,2024,dry,medium,medium
wine_sauvignon_blanc_featherdrop_featherdrop,Marlborough,2025,dry,light,high
wine_castel_firmian_pinot_grigio_mezzacorona,Trentino,2024,dry,light,medium
wine_soellner_wogenrain_organic_gr_ner_veltliner_soellner,Wagram,2022,dry,light,high
wine_vi_abal_albari_o_vi_abal,Rías Baixas,2024,dry,light,high
wine_lychgate_bacchus_bolney,West Sussex,2023,dry,light,high
wine_gavi_di_gavi_la_meirana_broglia,Piedmont,2024,dry,medium,high
wine_marcel_henri_cuv_e_daniel_chotard,"Sancerre, Loire",2023,dry,medium,high
wine_c_tes_de_provence_mas_fleurey_ros_mas_fleurey,Provence,2023,dry,light,medium
wine_balfour_nannete_s_ros_balfour,Kent,2024,dry,light,medium
wine_vialetto_negroamaro_vialetto,Puglia,2023,dry,medium,medium
wine_montalto_organic_nero_d_avola_montalto,Sicily,2023,dry,medium,medium
wine_c_tes_du_rh_ne_haut_de_brun_alain_jaume,Rhône,2023,dry,medium,medium
wine_g_rard_bertrand_naturaly_s_pinot_noir_g_rard_bertrand,Occitanie,2022,dry,light,medium
wine_catena_appellation_vista_flores_malbec_catena,Mendoza,2022,dry,full,medium
wine_cervera_colors_negre_cervera,Costers del Segre,2022,dry,full,medium
wine_peppoli_antinori_chianti_classico_antinori,Tuscany,2023,dry,medium,high
wine_luke_s_pinot_noir_balfour,Kent,2023,dry,light,high
wine_ch_teau_cissac_haut_m_doc_ch_teau_cissac,Bordeaux,2017,dry,medium,medium
wine_st_joseph_poivre_et_sol_francois_villard,Northern Rhône,2021,dry,medium,high
wine_la_fleur_d_or_sauternes,Bordeaux,2021,sweet,medium,medium
wine_angelorum_recioto_della_valpolicella_masi,Veneto,2019,sweet,full,medium
wine_dindarello_maculan,Breganze,2023,sweet,medium,high
wine_zuccardi_serie_a_malbec_zuccardi,Mendoza,,dry,full,medium
wine_tignanello_antinori,Tuscany,2022,dry,full,high
wine_chablis_jean_marc_brocard,"Chablis, Burdundy",2024,dry,light,high
wine_bramito_chardonnay_antinori,Umbria,2024,dry,medium,medium
wine_vespa_bianco_bastianich,Friuli,2018,dry,full,medium
wine_cervaro_della_sala_antinori,Umbria,2023,dry,full,high

